Financial Growth,,,,
Company,ALAB (NASDAQ),,,
Currency,USD,,,
Period,FY,,,
Date,2025-12-31 00:00:00,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00
,,,,
Revenue Growth,1.151265487395594,2.422370761870218,0.44974459134615385,0
Gross Profit Growth,1.1316918787310166,2.7919375649842784,0.3603551405054447,0
Ebitgrowth,3.6676245444985205,-2.563622102143978,0.6014657612754207,0
Operating Income Growth,2.49417572760326,-2.934840831270977,0.5099677708741736,0
Net Income Growth,3.6268445595233816,-2.177095631641086,0.5499700059988002,0
Epsgrowth,3.0625,-2.7647058823529407,0.6222222222222222,0
Epsdiluted Growth,2.9062499999999996,-2.7647058823529407,0.6222222222222222,0
Weighted Average Shares Growth,0.2677545672014749,-0.13928250591791638,0.1690353539999387,0
Weighted Average Shares Diluted Growth,0.3678825554996876,-0.13928250591791638,0.1690353539999387,0
Dividendsper Share Growth,0,0,0,0
Operating Cash Flow Growth,1.3362258187245748,11.748348537275874,0.6457741378349768,0
Free Cash Flow Growth,1.7507492848844588,7.618272274988693,0.6108470996454703,0
Ten YRevenue Growth Per Share,7.3673725278483175,3.930946366130774,0.24012040045303032,0
Five YRevenue Growth Per Share,7.3673725278483175,3.930946366130774,0.24012040045303032,0
Three YRevenue Growth Per Share,7.3673725278483175,3.930946366130774,0.24012040045303032,0
Ten YOperating CFGrowth Per Share,7.972898875708952,4.783848430003256,0.696993028523035,0
Five YOperating CFGrowth Per Share,7.972898875708952,4.783848430003256,0.696993028523035,0
Three YOperating CFGrowth Per Share,7.972898875708952,4.783848430003256,0.696993028523035,0
Ten YNet Income Growth Per Share,3.9443040943275216,-0.4209652981868772,0.6150415875265108,0
Five YNet Income Growth Per Share,3.9443040943275216,-0.4209652981868772,0.6150415875265108,0
Three YNet Income Growth Per Share,3.9443040943275216,-0.4209652981868772,0.6150415875265108,0
Ten YShareholders Equity Growth Per Share,13.53331813811409,12.241914320438728,2.5788487120047363,0
Five YShareholders Equity Growth Per Share,13.53331813811409,12.241914320438728,2.5788487120047363,0
Three YShareholders Equity Growth Per Share,13.53331813811409,12.241914320438728,2.5788487120047363,0
Ten YDividendper Share Growth Per Share,0,0,0,0
Five YDividendper Share Growth Per Share,0,0,0,0
Three YDividendper Share Growth Per Share,0,0,0,0
Receivables Growth,1.1437736724124603,3.656388722255549,-0.22255386624382054,0
Asset Growth,0.4526423697117518,4.372139465693966,-0.07291799500309355,0
Inventory Growth,0.3647807474256624,0.7935256277235941,-0.16551222553162015,0
Book Valueper Share Growth,0.11487401352343388,6.120323964519916,2.5788487120047363,0
Debt Growth,26.330482115085537,-0.5616905248807089,0.8371947401377583,0
Rdexpense Growth,0.5137081113379475,1.7358426308117754,-0.0041242148390335225,0
Sgaexpenses Growth,-0.22986211485075825,5.0677395105381855,-0.20474271543707379,0
