Financial Growth,,,,,,,,,,,,,,,,,
Company,ALAB (NASDAQ),,,,,,,,,,,,,,,,
Currency,USD,,,,,,,,,,,,,,,,
Period,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1
Date,2026-03-31 00:00:00,2025-12-31 00:00:00,2025-09-30 00:00:00,2025-06-30 00:00:00,2025-03-31 00:00:00,2024-12-31 00:00:00,2024-09-30 00:00:00,2024-06-30 00:00:00,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2022-06-30 00:00:00,2022-03-31 00:00:00
,,,,,,,,,,,,,,,,,
Revenue Growth,0.13961704911247197,0.17351404098449527,0.20138074768789893,0.2037292557795311,0.1300249475534388,0.24768760058716374,0.47151594014313597,0.1776333936069141,0.29187947895632893,0.36790511265164644,2.4550898203592815,-0.39492753623188404,-0.13220338983050847,-0.11894559148162576,0.0797812675266405,0.424690371554135,0
Gross Profit Growth,0.1499743244895464,0.16303210247309627,0.20780692895859526,0.21900829906792507,0.14325788909313725,0.18857038815617283,0.468189260533966,0.18475851148060174,0.2945547725816784,0.38854296388542964,2.330370897025714,0.9819163926726162,-0.7090933934549429,-0.14886317380938535,0.07233273056057866,0.48353376503237744,0
Ebitgrowth,-0.06970791357790027,0.18026681822260776,0.31984445014706175,1.3326886770732607,1.0292468697439732,4.308531746031746,1.1431513171909393,0.8248666260430527,-8.519450158967645,43.26877470355731,0.9842446132768713,0.07345219548785413,0.14797699228159875,-2.913235859946133,0.8134041713034426,-5.656391875746714,0
Operating Income Growth,-0.07654051793661698,0.20849727466339385,0.3930205661990245,2.524501550731059,77.36805555555556,1.0161870503597121,0.6346161744773483,0.7065459761109839,-10.19811529933481,5.562468386444107,0.8877533639925055,0.06942463147883975,0.13329975272460848,-2.5805869814723725,0.7827372470789399,-5.707765830346475,0
Net Income Growth,0.7853808189942644,-0.506310775511996,0.7789101700540815,0.6096986077500864,0.28754097033949744,4.25470828394574,-0.006228465412138882,0.9188558524651863,-7.491797556719023,5.585467349551856,0.8438312337532493,-0.14609831557236164,0.13151216599492463,-2.7620741295394984,0.8045657422989683,-3.9055994256999282,0
Epsgrowth,0.7407407407407405,-0.5,0.7419354838709679,0.631578947368421,0.2666666666666667,4.099173553719008,0.004115226337448535,0.919,-7.3897763578274756,5.580487804878048,0.8633333333333334,-0.15384615384615377,0.7796610169491526,-2.6874999999999996,0.7999999999999999,-4,0
Epsdiluted Growth,0.76,-0.5,0.7241379310344829,0.611111111111111,0.28571428571428553,3.892561983471075,0.004115226337448535,0.919,-7.3897763578274756,5.580487804878048,0.8633333333333334,-0.15384615384615377,0.7796610169491526,-2.6874999999999996,0.7999999999999999,-4,0
Weighted Average Shares Growth,0.007203327335476829,0.012356960271387276,0.012138211185530866,0.013689228770665588,0.020632289940273305,0.019536953791023458,0.010515531672240156,0.00876172400569382,0.00883917037697619,0,0.1690353539999387,0,2.8176231307248836,0,0,0,0
Weighted Average Shares Diluted Growth,-0.00013246422086201092,0.003044881554107545,0.014211117349803482,-8.982910013698938e-05,0.003136985452722757,0.13216774744788976,0.010515531672240156,0.00876172400569382,0.00883917037697619,0,0.1690353539999387,0,2.8176231307248836,0,0,0,0
Dividendsper Share Growth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operating Cash Flow Growth,-0.21694221382459455,0.218674444487086,-0.42252116484198393,11.887090632140136,-0.7354356093997935,-0.37483466649870884,1.1302116526347568,7.163472070098576,-0.7463712757830405,44.11077844311377,0.9854542287257207,-5.012568735271014,0,0,0,0,0
Free Cash Flow Growth,-0.12489552862515671,0.16239108655393303,-0.5059508185656539,21.35423302598491,-0.754071325499897,-0.48185255602315696,0.5033882519189389,135.56578947368422,-0.9829698237227368,13.51214953271028,0.9545396609593406,-4.527712541099108,0,0,0,0,0
Ten YRevenue Growth Per Share,3.1096550346254825,1.6798135325053254,1.036820171577157,0.8528814322469719,1.2230239130685165,0.4813797383567602,0.06651321585488425,-0.2091756147458472,-0.034885091025079515,-0.44394217771310646,-0.6418485528083865,-0.8691508811071874,-0.6919055303690457,0,0,0,0
