Income Statement,,,,,,,,,,,,,,,,,
Company,ALAB (NASDAQ),,,,,,,,,,,,,,,,
Currency,USD,,,,,,,,,,,,,,,,
Period,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1
Date,2026-03-31 00:00:00,2025-12-31 00:00:00,2025-09-30 00:00:00,2025-06-30 00:00:00,2025-03-31 00:00:00,2024-12-31 00:00:00,2024-09-30 00:00:00,2024-06-30 00:00:00,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2022-06-30 00:00:00,2022-03-31 00:00:00
,,,,,,,,,,,,,,,,,
Revenue,308361000,270583000,230575000,191925000,159442000,141096000,113086000,76850000,65258000,50514000,36928000,10688000,17664000,20355000,23103000,21396000,15018000
,,,,,,,,,,,,,,,,,
Cost Of Revenue,73220000,66108000,54763000,46362000,40031000,36648000,25209000,16996000,14738000,11489000,8823000,2249000,13406000,5718000,5906000,5359000,4208000
Gross Profit,235141000,204475000,175812000,145563000,119411000,104448000,87877000,59854000,50520000,39025000,28105000,8439000,4258000,14637000,17197000,16037000,10810000
Gross Profit Ratio,0.762551036,0.7556830991,0.7624937656,0.7584368894,0.7489306456,0.7402619493,0.7770811595,0.7788418998,0.7741579576,0.7725581027,0.7610756066,0.7895770958,0.2410552536,0.7190862196,0.744362204,0.7495326229,0.7198029032
,,,,,,,,,,,,,,,,,
Research And Development Expenses,125634000,93792000,78928000,66724000,64554000,56524000,50659000,40089000,53558000,19654000,20626000,17860000,15267000,27765000,14240000,22431000,9275000
Selling General And Administrative Expenses,47674000,43725000,41478000,39065000,43572000,47780000,46114000,44112000,79929000,10351000,9456000,8192000,7918000,8710000,9056000,21678000,5720000
    General And Administrative Expenses,25775000,23621000,22119000,20456000,21870000,24962000,22866000,22036000,24419000,5356000,3949000,3095000,3525000,0,3700000,0,0
    Selling And Marketing Expenses,21899000,20104000,19359000,18609000,21702000,22818000,23248000,22076000,55510000,4995000,5507000,5097000,4393000,0,5356000,0,0
Other Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operating Expenses,173308000,137517000,120406000,105789000,108126000,104304000,96773000,84201000,133487000,30005000,30082000,26052000,23185000,36475000,23296000,44109000,14995000
,,,,,,,,,,,,,,,,,
Cost And Expenses,246528000,203625000,175169000,152151000,148157000,140952000,121982000,101197000,148225000,41494000,38905000,28301000,36591000,42193000,29202000,49468000,19203000
Ebitda,77124000,81761000,68362000,52051000,22842000,11676000,2865000,-13366000,-79799000,11234000,225000,-15652000,-16974000,-20341000,901000,-27857000,-4185000
Ebitdaratio,0.2501094496,0.3021660636,0.2964848748,0.2712048977,0.1432621267,0.0827521687,0.025334701,-0.1739232271,-1.2228232554,0.2223937918,0.0060929376,-1.4644461078,-0.9609375,-0.9993122083,0.0389992642,-1.3019723313,-0.2786656013
Interest Expense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation And Amortization,3710000,2846000,1500000,1392000,1125000,974000,849000,717000,614000,540000,478000,406000,357000,0,6099000,0,0
Operating Income,61833000,66958000,55406000,39774000,11285000,144000,-8896000,-24347000,-82967000,9020000,-1977000,-17613000,-18927000,-21838000,-6099000,-28072000,-4185000
Operating Income Ratio,0.2005214667,0.247458266,0.2402949149,0.207237202,0.0707780886,0.0010205817,-0.0786657942,-0.3168119714,-1.2713690276,0.1785643584,-0.0535366118,-1.6479229042,-1.0715013587,-1.0728567919,-0.2639916894,-1.3120209385,-0.2786656013
,,,,,,,,,,,,,,,,,
Total Other Income Expenses Net,11581000,11957000,11456000,10885000,10432000,10558000,10912000,10264000,2554000,1674000,1724000,1555000,1596000,1497000,901000,215000,0
Income Before Tax,73414000,78915000,66862000,50659000,21717000,10702000,2016000,-14083000,-80413000,10694000,-253000,-16058000,-17331000,-20341000,-5198000,-27857000,-4185000
Income Before Tax Ratio,0.2380780968,0.2916480341,0.2899793993,0.2639520646,0.1362062694,0.0758490673,0.0178271404,-0.1832530904,-1.2322320635,0.2117036861,-0.0068511698,-1.5024326347,-0.9811480978,-0.9993122083,-0.2249924252,-1.3019723313,-0.2786656013
Income Tax Expense,-6896000,33933000,-24252000,-560000,-10102000,-14011000,9609000,-6537000,12582000,-3631000,2871000,3946000,123000,-244000,144000,-523000,1387000
