Key Metrics,,,,
Company,ALAB (NASDAQ),,,
Currency,USD,,,
Period,FY,,,
Date,2025-12-31 00:00:00,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00
Revenue Per Share,5.123101052833999,3.0190763511145646,0.7592899811806981,0.612271180204213
Net Income Per Share,1.3168477477044374,-0.6355304657859853,-0.17217366215746577,-0.4472526293195965
Operating Cash Flow Per Share,1.9188139993269555,1.0412457527692707,-0.08338196625640151,-0.27518167601876553
Free Cash Flow Per Share,1.6931998461612423,0.780355319894562,-0.10148652813387278,-0.30487075706006805
Cash Per Share,7.143983462333542,6.965466014535814,0.9790823787073041,1.2506055867292185
Book Value Per Share,8.194521897985673,7.350177507580259,1.0322813321705147,-0.6538190292214761
Tangible Book Value Per Share,8.194521897985673,7.350177507580259,1.0322813321705147,-0.6538190292214761
Shareholders Equity Per Share,8.194521897985673,7.350177507580259,1.0322813321705147,-0.6538190292214761
Interest Debt Per Share,0.21120979760588432,0.009797199494141488,0.019238965790836903,0.01224205071597216
Market Cap,27683634880.000004,17385651900,9459761090,8091937560
Enterprise Value,27551170880.000004,17307386900,9417597090,8017446560
Pe Ratio,126.03030303030303,-206.95312499999997,-364.88235294117646,-137.84444444444443
Price To Sales Ratio,32.47251972669424,43.871033586514926,81.69474316458539,101.31131760817307
Pocfratio,86.6993882983721,127.2034000117065,-743.9258485372759,-225.41471836871133
Pfcf Ratio,98.25183977967222,169.73037361736192,-611.2141299993539,-203.4632661989892
Pb Ratio,20.30136743437022,18.01997296846286,60.09020803425101,-94.87334755897389
Ptb Ratio,20.30136743437022,18.01997296846286,60.09020803425101,-94.87334755897389
Ev To Sales,32.31714129204423,43.67353932726034,81.3306137623711,100.37868790064103
Enterprise Value Over EBITDA,122.45944511116447,-220.12854726292227,-444.9188401757453,-141.21686969387395
Ev To Operating Cash Flow,86.28453859307373,126.6307683865492,-740.6100259515571,-223.3396445484428
Ev To Free Cash Flow,97.78171250913893,168.96629828860404,-608.489829424307,-201.590268285937
Earnings Yield,0.007915651284590269,-0.00479826701235172,-0.002775651493752471,-0.007210263248744099
Free Cash Flow Yield,0.0101779264616569,0.005891697394447429,-0.001636087830628289,-0.004914892101564857
Debt To Equity,0.025774511342486327,0.0013329201211858637,0.01863732801443218,-0.01872391314542982
Debt To Assets,0.02294455691029577,0.0012195260728225864,0.014947119597334583,0.00754258941770454
Net Debt To EBITDA,-0.5887759909681664,0.9954339641839642,1.991968630415269,1.312061859301793
Current Ratio,10.237594143202898,11.705056504356266,5.296815758716041,5.138563232726366
Interest Coverage,0,0,0,0
Income Quality,1.457126689605447,-1.638388415387013,0.48428990364474234,0.6152712314679921
Dividend Yield,0,0,0,0
Payout Ratio,0,0,0,0
Sales General And Administrative To Revenue,0.19687399196504501,0.5499381765878524,0.31018014750332484,0.5654547275641025
Research And Development To Revenue,0.356585437377203,0.5067753412904691,0.6339447639774082,0.9228640825320513
Intangibles To Total Assets,0,0,0,0
Capex To Operating Cash Flow,0.11758000162853188,0.2505560595861746,-0.2171280276816609,-0.10788901888684606
Capex To Revenue,0.04403859124365855,0.08641398975497741,0.023844067913708827,0.048490084134615384
Capex To Depreciation,5.497730267974814,10.857641090678504,1.5502526670409882,4.799256505576208
Stock Based Compensation To Revenue,0.18771648925251458,0.5919604330162255,0.09222412214795239,0.37854316907051283
Graham Number,15.58191574742128,,,
Roic,0.12398152391260676,-0.11974801186894636,-0.18055445035471845,-0.3474641822232997
Return On Tangible Assets,0.14305438683189897,-0.07910893042063218,-0.1337650031585597,-0.27556191582715805
Graham Net Net,6.685483870967742,6.668401746126069,0.8442178186658623,-0.8539635268144605
Working Capital,1228988000,926437000,150728000,165915000
Tangible Asset Value,1363634000,964799000,157426000,-85292000
Net Current Asset Value,1193841000,923270000,146941000,-91018000
Average Receivables,61006500,23573000,9528000,0
Average Payables,34640000,16627500,8316000,0
Average Inventory,51097000,33655000,26484500,0
Days Sales Outstanding,35.62209905867863,35.74658709530899,26.273166139869076,48.992951221955124
Days Payables Outstanding,74.60113671452832,104.97879069568656,64.30908888703533,177.3240998537115
Days Of Inventory On Hand,103.86432279604755,168.53623745873,244.5206717268607,497.33424567033177
Receivables Turnover,10.246448402682628,10.210764989307155,13.89250149970006,7.450051301184591
Payables Turnover,4.89268684198102,3.476892785496694,5.67571406028089,2.0583778533268577
Inventory Turnover,3.5141999694806625,2.165706351961125,1.4927163311890435,0.7339128627831267
Roe,0.1606985452108117,-0.08646464185804505,-0.16678947569016553,0.684061811189795
Capex Per Share,0.22561415316571318,0.2608904328747086,0.018104561877471264,0.029689081041302547
