Key Metrics,,,,,,,,,,,,,,,,,
Company,ALAB (NASDAQ),,,,,,,,,,,,,,,,
Currency,USD,,,,,,,,,,,,,,,,
Period,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1
Date,2026-03-31 00:00:00,2025-12-31 00:00:00,2025-09-30 00:00:00,2025-06-30 00:00:00,2025-03-31 00:00:00,2024-12-31 00:00:00,2024-09-30 00:00:00,2024-06-30 00:00:00,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2022-06-30 00:00:00,2022-03-31 00:00:00
Revenue Per Share,1.8061748064149572,1.596312793132946,1.3770933371556893,1.1601724012863601,0.9770089586626959,0.8824290940929985,0.7210691763745688,0.4951707163061618,0.4241636388453764,0.3312328282066582,0.24214605614315785,0.08193051850489069,0.13540612639131636,0.5956805478329578,0.6760996166339879,0.6261449767346581,0.43949547862222355
Net Income Per Share,0.47040286775300777,0.2653727028701218,0.5441721015791108,0.3096150591193752,0.19497653099991422,0.1545576784765002,-0.04841517302064005,-0.04862144730313984,-0.604448459873514,0.09393257837550736,-0.02048484292112286,-0.15334375862386165,-0.13379633888326742,-0.5881302859149571,-0.15633139211612185,-0.799918059172983,-0.1630622457639519
Operating Cash Flow Per Share,0.4369457493293347,0.5620188195038495,0.46687092381566686,0.8182774379186111,0.06436511146243122,0.2483067012727102,0.40494545083561284,0.19209530989246065,0.023737252276553288,0.09441781473151348,-0.0021901208500816377,-0.17601876552295098,-0.029275135682089965,0,0,0,0
Free Cash Flow Per Share,0.3925119782575589,0.45176248488245185,0.3934518263694785,0.8060485528447421,0.03655158890645489,0.1516932987272898,0.2984805299972582,0.2006262926951849,0.0014819533184704681,0.08778843694878133,-0.007016255417926205,-0.18042651703308496,-0.03264035813939227,0,0,0,0
Cash Per Share,6.937865351498893,7.013456830182,6.775293246374734,6.438365935633629,5.666421559616162,5.718133775290034,5.654500704580089,5.35438372669927,5.208877420361259,0.9790823787073041,0,0,0,0,0,0,0
Book Value Per Share,8.750559375841993,8.044801038317454,7.5953259752980244,6.865306961336654,6.3823547434341945,6.033953532005379,5.672424456899465,5.446246432000206,5.256930406692189,-0.6406496921372039,0,0,0,0,0,0,0
Tangible Book Value Per Share,8.236724341928001,8.044801038317454,7.5953259752980244,6.865306961336654,6.3823547434341945,6.033953532005379,5.672424456899465,5.446246432000206,5.256930406692189,-0.6406496921372039,0,0,0,0,0,0,0
Shareholders Equity Per Share,8.750559375841993,8.044801038317454,7.5953259752980244,6.865306961336654,6.3823547434341945,6.033953532005379,5.672424456899465,5.446246432000206,5.256930406692189,-0.6406496921372039,0,0,0,0,0,0,0
Interest Debt Per Share,0,0.207350815610159,0.3476074440383191,0.19528737577677296,0,0.008042778073110478,0,0.013743645255446234,0.0151640223332965,0.014137426804718595,0,0,0,0,0,0,0
Market Cap,18711569600,28198851800.000004,32783968800,14957999760,9737785980,21178092750,8216376090,8930150460,10941883120,9459761090,9459761090,8091937560,8091937560,2119627130,2119627130,2119627130,2119627130
Enterprise Value,18563284600,28066387800.000004,32701763800,14827977760,9651354980,21099827750,8090259090,8511207460,10248139120,9416819090,0,0,0,0,0,0,0
Pe Ratio,58.297872340425535,154.03703703703704,90.64814814814815,72.91935483870968,78.51315789473685,220.75,-270.6095041322314,-295.98765432098764,-29.633333333333336,165.14909478168263,-756.4634146341464,-103.38333333333334,-119.28846153846153,-26.283898305084747,-96.921875,-19.384375,-96.921875
Price To Sales Ratio,60.68072681045917,104.21516429339613,142.1835359427518,77.93669277061352,61.07415850277844,150.09704562850825,72.65599711723821,116.20234821080027,167.67113794477305,187.2700853228808,256.16770715987866,757.1049363772455,458.1033491847826,104.13299582412183,91.746835043068,99.06651383436156,141.13910840324942
Pocfratio,250.83205447867235,296.00432267884327,419.38786506504977,110.50041930765481,927.0550247524752,533.4129096038082,129.37545017950495,299.53880723174456,2996.1344797371307,656.9734766303216,-28322.637994011977,-352.40560752547685,-2118.8629379418694,0,0,0,0
Pfcf Ratio,279.22714737658924,368.24660206853326,497.64669237074594,112.17686537726014,1632.4871718357083,873.1433828076686,175.5223364166542,286.8018903555256,47990.71543859649,706.5850829100688,-8840.898214953271,-343.79647193780005,-1900.4080695162047,0,0,0,0
Pb Ratio,12.524913584676305,20.679193830602642,25.77901207094897,13.17056913976582,9.349213949817678,21.950782235470804,9.235909688718227,10.565074628631463,13.528807592632893,-96.82358512195371,0,0,0,0,0,0,0
Ptb Ratio,12.524913584676305,20.679193830602642,25.77901207094897,13.17056913976582,9.349213949817678,21.950782235470804,9.235909688718227,10.565074628631463,13.528807592632893,-96.82358512195371,0,0,0,0,0,0,0
Ev To Sales,60.199845635472705,103.72561395209604,141.8270142036214,77.25923022013808,60.5320742338907,149.54235237001757,71.54076623101002,110.75091034482759,157.04034938245118,186.41998436077128,0,0,0,0,0,0,0
Enterprise Value Over EBITDA,240.69400705357606,343.2735387287338,478.36171849858107,284.8740227853451,422.52670431660977,1807.11097550531,2823.825162303665,-636.7804474038605,-128.42440531836237,838.2427532490653,0,0,0,0,0,0,0
Ev To Operating Cash Flow,248.84426660232177,294.61384348921433,418.3362602499648,109.53989746317392,918.826635567403,531.4416479862982,127.38960587642502,285.4864475228927,2806.1717196056957,653.9911861934856,0,0,0,0,0,0,0
Ev To Free Cash Flow,277.01433474601566,366.516765043878,496.3988554600929,111.2017710715973,1617.9974819782062,869.916625438054,172.82816197047703,273.34706169508945,44947.97859649123,703.3775836570063,0,0,0,0,0,0,0
Earnings Yield,0.004291996968549342,0.0015951713324724801,0.002779224216440811,0.003424187780572608,0.0032675805429849877,0.001166913389781051,-0.0009241300442954772,-0.0008450025600128578,-0.008498994092709702,0.0015143088566098237,-0.00033024089829313013,-0.0024720902567122627,-0.002156961774677856,-0.009481384586731534,-0.002520254588362435,-0.012895664342624262,-0.0026287642393027872
Free Cash Flow Yield,0.0035813136702332014,0.0027155715609668897,0.002009457744481504,0.008914494059331366,0.0006125622407651231,0.0011452872686092094,0.00569728058784612,0.0034867273669653264,2.0837363870507144e-05,0.001415257729304874,-0.00011311067899284548,-0.002908697679076011,-0.0005262027750990209,0,0,0,0
Debt To Equity,0,0.025774511342486327,0.045765967802939456,0.0284455417473061,0,0.0013329201211858637,0,0.0025235077822945108,0.0028845773407980375,-0.022067327867677917,0,0,0,0,0,0,0
Debt To Assets,0,0.02294455691029577,0.04153778738236717,0.025409684561567714,0,0.0012195260728225864,0,0.00232983621240504,0.0026974185484812713,0.010983636622990239,0,0,0,0,0,0,0
Net Debt To EBITDA,-1.922682952129039,-1.6201367400105184,-1.2024955384570375,-2.497973141726384,-3.783863059276771,-6.703066118533744,-44.019895287958114,31.343932365704024,8.693642777478415,-3.8225031155421045,0,0,0,0,0,0,0
Current Ratio,11.299510572278558,10.237594143202898,12.779165593613186,11.099028980194204,13.9210533126294,11.705056504356266,10.740447523852794,13.909837216924446,18.743062715247767,5.296815758716041,0,0,0,0,0,0,0
Interest Coverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income Quality,0.9288756070227867,2.1178471388555424,0.857947187040411,2.642886428864289,0.3301172255570571,1.6065633472261562,-8.364019491637034,-3.950834879406308,-0.039270928544545405,1.0051657940663177,0.10691421254801536,1.1478704259148171,0.21880371261601925,0,0,0,0
Dividend Yield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Payout Ratio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sales General And Administrative To Revenue,0.15460450575786172,0.16159551782632317,0.1798894069174889,0.20354305067083497,0.2732780572245707,0.33863468843907696,0.40777815114160904,0.5740013012361743,1.2248153483097857,0.20491348932969078,0.25606585788561526,0.7664670658682635,0.44825634057971014,0.4279046917219356,0.39198372505735185,1.0131800336511498,0.38087628179517913
Research And Development To Revenue,0.4074250634807904,0.3466293152193597,0.34230944378184974,0.34765663670704705,0.4048744998181157,0.4006066791404434,0.4479688025042888,0.5216525699414444,0.8207116368874314,0.38908025497881776,0.5585463604852686,1.6710329341317365,0.8643002717391305,1.3640383198231392,0.6163701683764014,1.0483735277621986,0.617592222666134
Intangibles To Total Assets,0.05287138797563908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capex To Operating Cash Flow,0.10169173436285155,0.19617907941006665,0.15725780660347188,0.014944668528286275,0.4321210967250571,0.3890889857189633,0.2629117591484537,0.04441015664307517,0.9375684556407448,0.07021320925064241,-2.2035928143712575,-0.025041372702726244,-0.1149515579994763,0,0,0,0
Capex To Revenue,0.02460103579894993,0.06906937982060957,0.05331453973761249,0.010540575745734011,0.028468032262515524,0.10948574020525033,0.14764869214580054,0.017228366948601172,0.0524686628459346,0.020014253474284358,0.01993067590987868,0.05379865269461078,0.024852807971014492,0,0,0,0
Capex To Depreciation,2.044743935309973,6.566760365425158,8.385402455661664,1.4533045977011494,4.034666666666666,15.860369609856264,19.666666666666668,1.8914285714285715,5.576547231270358,1.8722222222222222,1.5397489539748954,1.416256157635468,1.2296918767507004,0,0,0,0
Stock Based Compensation To Revenue,0.15862252360058504,0.15290687145903475,0.17668437601648054,0.1848326169076462,0.2662159280490711,0.34173895787265407,0.4026581539713139,0.5604033832140534,1.4981764687854362,0.06530862731124044,0.07341312824956672,0.25,0.11305480072463768,0,0,0,0
Graham Number,9.623745895381823,6.930698983565075,9.643453800818332,6.915638399013166,5.291428088751378,4.580759939539637,,,,,,,,,,,
Roic,0.04030385139596564,0.027285502031515318,0.04246763917759668,0.03400393951207502,0.010805102191276639,0.00014856817422094563,0.03743540018169218,-0.015283590417835488,-0.10097645339178504,0.055212433203361715,0,0,0,0,0,0,0
